ITERATION,PRED,TRUE,PROB.CASE
0,1,0,0.8713785409927368
0,0,1,0.019525032490491867
0,0,0,0.03048783726990223
0,1,1,0.6425571441650391
0,0,1,0.3088274896144867
0,1,0,0.9717897176742554
0,0,0,0.33025482296943665
0,0,0,0.11493594944477081
0,1,1,0.9886960983276367
0,1,1,0.7756595611572266
0,0,1,0.27999448776245117
0,0,0,0.017404206097126007
0,1,1,0.9703752398490906
0,0,0,0.4200887978076935
1,1,0,0.9765610098838806
1,0,0,0.1305900663137436
1,1,0,0.5520150661468506
1,0,1,0.14933501183986664
1,0,0,0.028888456523418427
1,1,0,0.6694989204406738
1,1,1,0.9679533839225769
1,1,0,0.9739309549331665
1,0,1,0.033218320459127426
1,1,1,0.9772403240203857
1,0,1,0.18051916360855103
1,0,1,0.028113560751080513
1,0,1,0.03240834176540375
2,1,1,0.9885901808738708
2,0,0,0.02731376327574253
2,0,1,0.437580406665802
2,0,1,0.01616544835269451
2,0,0,0.022313788533210754
2,1,1,0.9180280566215515
2,1,0,0.9526278376579285
2,1,1,0.9759936332702637
2,1,0,0.6009462475776672
2,1,0,0.9657907485961914
2,0,0,0.014503374695777893
2,0,1,0.03048243746161461
2,1,1,0.6638155579566956
3,0,0,0.10159024596214294
3,0,1,0.26370224356651306
3,1,1,0.8589861989021301
3,1,1,0.7566003799438477
3,0,0,0.13590459525585175
3,1,1,0.7305440902709961
3,0,0,0.3291335701942444
3,0,1,0.43585535883903503
3,0,0,0.024423176422715187
3,1,1,0.9319940805435181
3,1,1,0.9488874673843384
3,0,0,0.36227020621299744
3,0,0,0.07076756656169891
4,0,0,0.12300962209701538
4,0,1,0.339903861284256
4,0,0,0.04303514212369919
4,0,0,0.05161616578698158
4,1,1,0.9334802031517029
4,1,0,0.7487841844558716
4,0,0,0.028424300253391266
4,0,1,0.023853475227952003
4,1,1,0.922403872013092
4,0,0,0.08478637039661407
4,0,1,0.01395715493708849
4,0,0,0.018004830926656723
4,0,1,0.08091990649700165
5,0,0,0.0647893026471138
5,1,0,0.9504667520523071
5,0,0,0.02092786692082882
5,0,1,0.021474426612257957
5,0,0,0.250789076089859
5,0,0,0.05156359449028969
5,1,1,0.7784366607666016
5,1,1,0.951614499092102
5,1,1,0.963421642780304
5,0,0,0.2554800510406494
5,0,1,0.02015337161719799
5,0,1,0.03935076668858528
5,0,1,0.3191297650337219
5,1,0,0.8842952847480774
6,0,1,0.3708481788635254
6,0,1,0.49748095870018005
