ITERATION,PRED,TRUE,PROB.CASE
0,0,0,0.2379620522260666
0,0,1,1.2440527541457413e-07
0,0,0,2.61897272655594e-18
0,1,1,0.9065415859222412
0,0,1,7.309671491384506e-05
0,0,0,5.037036597283634e-14
0,1,0,0.999150276184082
0,1,0,0.9999938011169434
0,0,1,0.010652401484549046
0,0,1,0.04973628371953964
0,1,1,0.897966742515564
0,0,0,0.0018261080840602517
0,1,1,0.9999996423721313
0,1,0,0.7070224285125732
1,0,0,0.5
1,0,0,0.5
1,0,0,0.5
1,0,1,0.5
1,0,0,0.5
1,0,0,0.5
1,0,1,0.5
1,0,0,0.5
1,0,1,0.5
1,0,1,0.5
1,0,1,0.5
1,0,1,0.5
1,0,1,0.5
2,1,1,1.0
2,0,0,3.146469095491994e-25
2,0,1,4.876777893514372e-06
2,1,1,0.9981014132499695
2,0,0,0.009498140774667263
2,0,1,0.0026295145507901907
2,1,0,0.9990105628967285
2,0,1,0.36376142501831055
2,1,0,0.9999465942382812
2,0,0,5.4373880750560946e-14
2,0,0,6.817333833954511e-14
2,1,1,0.9999998807907104
2,0,1,9.368463782521985e-10
3,0,0,2.132902944220315e-16
3,0,1,0.02197318896651268
3,1,1,0.9728518724441528
3,1,1,0.9999803304672241
3,0,0,7.311484040428695e-08
3,1,1,0.9999517202377319
3,1,0,0.6742119789123535
3,1,1,0.9999798536300659
3,0,0,5.892815124752815e-10
3,1,1,0.9995513558387756
3,1,1,1.0
3,0,0,3.7795357457071077e-06
3,0,0,2.9723016268690117e-05
4,0,0,9.86605414254882e-07
4,1,1,0.951020359992981
4,1,0,0.769085705280304
4,1,0,0.9999644756317139
4,0,1,0.008889134041965008
4,1,0,0.9999996423721313
4,1,0,0.9999991655349731
4,0,1,0.3323230743408203
4,0,1,0.009953237138688564
4,0,0,0.00029623432783409953
4,0,1,1.2030636753479484e-05
4,0,0,0.0021057354751974344
4,1,1,0.7703419923782349
5,0,0,2.0226304187076494e-08
5,1,0,0.9935170412063599
5,0,0,0.014695919118821621
5,1,1,0.6456400156021118
5,1,0,0.925406813621521
5,1,0,0.9638077616691589
5,1,1,0.9867092967033386
5,0,1,0.0007692758226767182
5,1,1,0.9997127652168274
5,1,0,0.9864794611930847
5,0,1,5.7239154557464644e-05
5,0,1,0.12726405262947083
5,0,1,8.101877142507874e-07
5,0,0,2.9867525881854817e-05
6,0,1,3.4094113742345975e-15
6,0,1,9.020901643452817e-07
6,0,1,0.08391008526086807
6,1,0,0.9999507665634155
6,1,0,0.9992064833641052
6,1,0,0.9999644756317139
6,1,1,0.9602277278900146
6,1,0,0.9998846054077148
6,1,0,0.9999798536300659
6,0,0,1.0402286534372251e-05
6,1,1,0.9984442591667175
6,1,1,1.0
6,0,1,5.6743402057429174e-15
7,1,1,0.9978243112564087
7,0,0,0.00031950956326909363
7,0,0,0.02473081462085247
7,0,0,0.4542328119277954
7,0,1,2.8048665612345758e-09
7,0,1,0.0003025234036613256
7,1,1,0.9999994039535522
7,1,0,0.7423751354217529
7,0,0,6.850382487755269e-05
7,1,1,0.9999998807907104
7,0,1,7.826009805478318e-12
7,0,1,6.734238500172296e-09
7,1,0,0.9948948621749878
8,0,1,1.1680786174706265e-17
8,0,1,3.742024148323253e-07
8,1,1,0.9995660185813904
8,1,0,0.9994526505470276
8,1,0,0.9997217059135437
